building,floor,floor_number,site,site_height,site_area,floor_height,floor_area,building_area
2,3,3,226_2,NULL,NULL,NULL,NULL,NULL
2,3,3,227_2,NULL,NULL,NULL,NULL,NULL
2,3,3,228_2,NULL,NULL,NULL,NULL,NULL
2,3,3,233_2,NULL,NULL,NULL,NULL,NULL
2,3,3,231_2,NULL,NULL,NULL,NULL,NULL
2,3,3,230_2,NULL,NULL,NULL,NULL,NULL
2,3,3,230_1,NULL,NULL,NULL,NULL,NULL
2,3,3,232_2,NULL,NULL,NULL,NULL,NULL
2,3,3,236_2,NULL,NULL,NULL,NULL,NULL
2,3,3,236_1,NULL,NULL,NULL,NULL,NULL
2,3,3,235_2,NULL,NULL,NULL,NULL,NULL
2,3,3,234_2,NULL,NULL,NULL,NULL,NULL
2,3,3,237_2,NULL,NULL,NULL,NULL,NULL
2,3,3,238_2,NULL,NULL,NULL,NULL,NULL
2,3,3,239_2,NULL,NULL,NULL,NULL,NULL
1,2,2,112_1,NULL,NULL,NULL,NULL,NULL
1,2,2,28_1,NULL,NULL,NULL,NULL,NULL
2,4,4,202_2,NULL,NULL,NULL,NULL,NULL
2,4,4,201_2,NULL,NULL,NULL,NULL,NULL
2,4,4,203_2,NULL,NULL,NULL,NULL,NULL
2,4,4,205_2,NULL,NULL,NULL,NULL,NULL
2,4,4,207_2,NULL,NULL,NULL,NULL,NULL
2,4,4,204_2,NULL,NULL,NULL,NULL,NULL
2,4,4,206_2,NULL,NULL,NULL,NULL,NULL
2,4,4,208_2,NULL,NULL,NULL,NULL,NULL
2,4,4,212_2,NULL,NULL,NULL,NULL,NULL
2,4,4,209_2,NULL,NULL,NULL,NULL,NULL
2,4,4,210_2,NULL,NULL,NULL,NULL,NULL
2,4,4,211_2,NULL,NULL,NULL,NULL,NULL
2,4,4,215_2,NULL,NULL,NULL,NULL,NULL
2,4,4,217_2,NULL,NULL,NULL,NULL,NULL
2,4,4,213_2,NULL,NULL,NULL,NULL,NULL
2,4,4,216_2,NULL,NULL,NULL,NULL,NULL
2,4,4,214_2,NULL,NULL,NULL,NULL,NULL
2,4,4,218_2,NULL,NULL,NULL,NULL,NULL
2,4,4,219_2,NULL,NULL,NULL,NULL,NULL
2,4,4,220_2,NULL,NULL,NULL,NULL,NULL
1,2,2,3_1,NULL,NULL,NULL,NULL,NULL
1,2,2,5_1,NULL,NULL,NULL,NULL,NULL
1,2,2,4_1,NULL,NULL,NULL,NULL,NULL
1,2,2,6_1,NULL,NULL,NULL,NULL,NULL
1,2,2,7_1,NULL,NULL,NULL,NULL,NULL
1,2,2,8_1,NULL,NULL,NULL,NULL,NULL
1,2,2,9_1,NULL,NULL,NULL,NULL,NULL
1,2,2,101_1,NULL,NULL,NULL,NULL,NULL
1,2,2,102_1,NULL,NULL,NULL,NULL,NULL
1,2,2,105_1,NULL,NULL,NULL,NULL,NULL
1,2,2,106_1,NULL,NULL,NULL,NULL,NULL
2,2,2,202_2,NULL,NULL,NULL,NULL,NULL
2,2,2,220_2,NULL,NULL,NULL,NULL,NULL
2,2,2,201_2,NULL,NULL,NULL,NULL,NULL
2,2,2,203_2,NULL,NULL,NULL,NULL,NULL
2,2,2,206_2,NULL,NULL,NULL,NULL,NULL
2,2,2,204_2,NULL,NULL,NULL,NULL,NULL
2,2,2,214_2,NULL,NULL,NULL,NULL,NULL
2,2,2,205_2,NULL,NULL,NULL,NULL,NULL
2,2,2,207_2,NULL,NULL,NULL,NULL,NULL
2,2,2,208_2,NULL,NULL,NULL,NULL,NULL
2,2,2,213_2,NULL,NULL,NULL,NULL,NULL
2,3,3,141_2,NULL,NULL,NULL,NULL,NULL
2,2,2,211_2,NULL,NULL,NULL,NULL,NULL
2,2,2,210_2,NULL,NULL,NULL,NULL,NULL
2,2,2,217_2,NULL,NULL,NULL,NULL,NULL
2,2,2,209_2,NULL,NULL,NULL,NULL,NULL
2,3,3,102_2,NULL,NULL,NULL,NULL,NULL
2,3,3,140_2,NULL,NULL,NULL,NULL,NULL
2,3,3,143_2,NULL,NULL,NULL,NULL,NULL
2,3,3,101_2,NULL,NULL,NULL,NULL,NULL
2,3,3,103_2,NULL,NULL,NULL,NULL,NULL
2,3,3,105_2,NULL,NULL,NULL,NULL,NULL
2,3,3,111_2,NULL,NULL,NULL,NULL,NULL
2,3,3,106_2,NULL,NULL,NULL,NULL,NULL
2,3,3,104_2,NULL,NULL,NULL,NULL,NULL
2,3,3,108_2,NULL,NULL,NULL,NULL,NULL
2,3,3,107_2,NULL,NULL,NULL,NULL,NULL
2,3,3,112_2,NULL,NULL,NULL,NULL,NULL
2,3,3,113_2,NULL,NULL,NULL,NULL,NULL
2,3,3,109_2,NULL,NULL,NULL,NULL,NULL
2,3,3,114_2,NULL,NULL,NULL,NULL,NULL
2,3,3,116_2,NULL,NULL,NULL,NULL,NULL
2,3,3,117_2,NULL,NULL,NULL,NULL,NULL
2,3,3,115_2,NULL,NULL,NULL,NULL,NULL
2,3,3,110_2,NULL,NULL,NULL,NULL,NULL
2,3,3,120_2,NULL,NULL,NULL,NULL,NULL
2,3,3,118_2,NULL,NULL,NULL,NULL,NULL
2,3,3,128_2,NULL,NULL,NULL,NULL,NULL
2,3,3,119_2,NULL,NULL,NULL,NULL,NULL
2,3,3,129_2,NULL,NULL,NULL,NULL,NULL
2,3,3,122_2,NULL,NULL,NULL,NULL,NULL
2,3,3,121_2,NULL,NULL,NULL,NULL,NULL
2,3,3,125_2,NULL,NULL,NULL,NULL,NULL
2,3,3,124_2,NULL,NULL,NULL,NULL,NULL
2,3,3,131_2,NULL,NULL,NULL,NULL,NULL
2,3,3,127_2,NULL,NULL,NULL,NULL,NULL
2,3,3,132_2,NULL,NULL,NULL,NULL,NULL
2,3,3,126_2,NULL,NULL,NULL,NULL,NULL
2,3,3,133_2,NULL,NULL,NULL,NULL,NULL
2,2,2,210_1,NULL,NULL,NULL,NULL,NULL
2,2,2,217_1,NULL,NULL,NULL,NULL,NULL
2,3,3,140_1,NULL,NULL,NULL,NULL,NULL
2,3,3,134_2,NULL,NULL,NULL,NULL,NULL
2,3,3,137_2,NULL,NULL,NULL,NULL,NULL
2,3,3,135_2,NULL,NULL,NULL,NULL,NULL
2,3,3,136_2,NULL,NULL,NULL,NULL,NULL
2,3,3,253_2,NULL,NULL,NULL,NULL,NULL
2,4,4,103_2,NULL,NULL,NULL,NULL,NULL
2,3,3,253_1,NULL,NULL,NULL,NULL,NULL
2,4,4,102_2,NULL,NULL,NULL,NULL,NULL
2,4,4,101_2,NULL,NULL,NULL,NULL,NULL
2,3,3,254_2,NULL,NULL,NULL,NULL,NULL
2,4,4,104_2,NULL,NULL,NULL,NULL,NULL
2,4,4,105_2,NULL,NULL,NULL,NULL,NULL
2,4,4,106_2,NULL,NULL,NULL,NULL,NULL
2,4,4,107_2,NULL,NULL,NULL,NULL,NULL
2,4,4,110_2,NULL,NULL,NULL,NULL,NULL
2,4,4,112_2,NULL,NULL,NULL,NULL,NULL
2,4,4,109_2,NULL,NULL,NULL,NULL,NULL
2,4,4,108_2,NULL,NULL,NULL,NULL,NULL
2,4,4,111_2,NULL,NULL,NULL,NULL,NULL
2,4,4,115_2,NULL,NULL,NULL,NULL,NULL
2,4,4,114_2,NULL,NULL,NULL,NULL,NULL
2,4,4,113_2,NULL,NULL,NULL,NULL,NULL
2,4,4,116_2,NULL,NULL,NULL,NULL,NULL
2,4,4,118_2,NULL,NULL,NULL,NULL,NULL
2,4,4,119_2,NULL,NULL,NULL,NULL,NULL
2,4,4,120_2,NULL,NULL,NULL,NULL,NULL
2,4,4,117_2,NULL,NULL,NULL,NULL,NULL
2,4,4,121_2,NULL,NULL,NULL,NULL,NULL
2,4,4,143_2,NULL,NULL,NULL,NULL,NULL
2,4,4,123_2,NULL,NULL,NULL,NULL,NULL
2,4,4,122_2,NULL,NULL,NULL,NULL,NULL
2,4,4,128_2,NULL,NULL,NULL,NULL,NULL
2,4,4,130_2,NULL,NULL,NULL,NULL,NULL
2,4,4,129_2,NULL,NULL,NULL,NULL,NULL
2,4,4,129_1,NULL,NULL,NULL,NULL,NULL
2,4,4,132_2,NULL,NULL,NULL,NULL,NULL
2,4,4,131_2,NULL,NULL,NULL,NULL,NULL
2,4,4,135_2,NULL,NULL,NULL,NULL,NULL
2,4,4,134_2,NULL,NULL,NULL,NULL,NULL
2,4,4,137_2,NULL,NULL,NULL,NULL,NULL
2,4,4,133_2,NULL,NULL,NULL,NULL,NULL
2,4,4,136_2,NULL,NULL,NULL,NULL,NULL
2,4,4,140_2,NULL,NULL,NULL,NULL,NULL
2,4,4,138_2,NULL,NULL,NULL,NULL,NULL
2,4,4,139_2,NULL,NULL,NULL,NULL,NULL
2,4,4,124_2,NULL,NULL,NULL,NULL,NULL
2,4,4,126_2,NULL,NULL,NULL,NULL,NULL
2,4,4,125_2,NULL,NULL,NULL,NULL,NULL
2,4,4,142_2,NULL,NULL,NULL,NULL,NULL
2,4,4,141_2,NULL,NULL,NULL,NULL,NULL
2,4,4,127_2,NULL,NULL,NULL,NULL,NULL
2,4,4,146_2,NULL,NULL,NULL,NULL,NULL
2,4,4,141_1,NULL,NULL,NULL,NULL,NULL
2,4,4,147_2,NULL,NULL,NULL,NULL,NULL
1,0,0,9_2,NULL,NULL,NULL,NULL,NULL
1,0,0,10_2,NULL,NULL,NULL,NULL,NULL
1,0,0,10_1,NULL,NULL,NULL,NULL,NULL
1,0,0,202_2,NULL,NULL,NULL,NULL,NULL
1,0,0,202_1,NULL,NULL,NULL,NULL,NULL
1,0,0,203_2,NULL,NULL,NULL,NULL,NULL
1,0,0,248_1,NULL,NULL,NULL,NULL,NULL
1,0,0,248_2,NULL,NULL,NULL,NULL,NULL
1,0,0,247_2,NULL,NULL,NULL,NULL,NULL
1,0,0,247_1,NULL,NULL,NULL,NULL,NULL
1,0,0,222_1,NULL,NULL,NULL,NULL,NULL
1,0,0,222_2,NULL,NULL,NULL,NULL,NULL
1,0,0,213_2,NULL,NULL,NULL,NULL,NULL
1,0,0,216_2,NULL,NULL,NULL,NULL,NULL
1,0,0,216_1,NULL,NULL,NULL,NULL,NULL
1,0,0,244_1,NULL,NULL,NULL,NULL,NULL
1,0,0,243_2,NULL,NULL,NULL,NULL,NULL
1,0,0,245_2,NULL,NULL,NULL,NULL,NULL
1,0,0,246_2,NULL,NULL,NULL,NULL,NULL
1,0,0,249_2,NULL,NULL,NULL,NULL,NULL
1,0,0,237_2,NULL,NULL,NULL,NULL,NULL
1,0,0,244_2,NULL,NULL,NULL,NULL,NULL
1,0,0,237_1,NULL,NULL,NULL,NULL,NULL
1,0,0,227_2,NULL,NULL,NULL,NULL,NULL
1,0,0,228_2,NULL,NULL,NULL,NULL,NULL
1,0,0,249_1,NULL,NULL,NULL,NULL,NULL
1,0,0,227_1,NULL,NULL,NULL,NULL,NULL
1,0,0,230_2,NULL,NULL,NULL,NULL,NULL
1,0,0,229_2,NULL,NULL,NULL,NULL,NULL
1,0,0,228_1,NULL,NULL,NULL,NULL,NULL
1,0,0,229_1,NULL,NULL,NULL,NULL,NULL
1,0,0,238_1,NULL,NULL,NULL,NULL,NULL
1,0,0,231_1,NULL,NULL,NULL,NULL,NULL
1,0,0,230_1,NULL,NULL,NULL,NULL,NULL
1,0,0,238_2,NULL,NULL,NULL,NULL,NULL
1,0,0,231_2,NULL,NULL,NULL,NULL,NULL
1,0,0,203_1,NULL,NULL,NULL,NULL,NULL
1,0,0,235_2,NULL,NULL,NULL,NULL,NULL
1,0,0,239_2,NULL,NULL,NULL,NULL,NULL
1,1,1,215_2,NULL,NULL,NULL,NULL,NULL
1,1,1,210_2,NULL,NULL,NULL,NULL,NULL
1,1,1,209_2,NULL,NULL,NULL,NULL,NULL
1,1,1,201_2,NULL,NULL,NULL,NULL,NULL
1,1,1,207_2,NULL,NULL,NULL,NULL,NULL
1,1,1,208_2,NULL,NULL,NULL,NULL,NULL
1,1,1,203_2,NULL,NULL,NULL,NULL,NULL
1,1,1,202_1,NULL,NULL,NULL,NULL,NULL
1,1,1,203_1,NULL,NULL,NULL,NULL,NULL
1,1,1,202_2,NULL,NULL,NULL,NULL,NULL
1,1,1,204_2,NULL,NULL,NULL,NULL,NULL
1,1,1,206_2,NULL,NULL,NULL,NULL,NULL
1,1,1,204_1,NULL,NULL,NULL,NULL,NULL
1,1,1,205_2,NULL,NULL,NULL,NULL,NULL
2,1,1,143_1,NULL,NULL,NULL,NULL,NULL
2,1,1,143_2,NULL,NULL,NULL,NULL,NULL
2,1,1,115_2,NULL,NULL,NULL,NULL,NULL
2,1,1,105_2,NULL,NULL,NULL,NULL,NULL
2,1,1,101_2,NULL,NULL,NULL,NULL,NULL
2,1,1,102_2,NULL,NULL,NULL,NULL,NULL
2,1,1,103_2,NULL,NULL,NULL,NULL,NULL
2,1,1,105_1,NULL,NULL,NULL,NULL,NULL
2,1,1,104_2,NULL,NULL,NULL,NULL,NULL
2,1,1,115_1,NULL,NULL,NULL,NULL,NULL
2,1,1,108_1,NULL,NULL,NULL,NULL,NULL
2,1,1,107_1,NULL,NULL,NULL,NULL,NULL
2,1,1,107_2,NULL,NULL,NULL,NULL,NULL
2,1,1,108_2,NULL,NULL,NULL,NULL,NULL
2,1,1,106_2,NULL,NULL,NULL,NULL,NULL
2,1,1,110_2,NULL,NULL,NULL,NULL,NULL
2,1,1,111_2,NULL,NULL,NULL,NULL,NULL
2,1,1,109_2,NULL,NULL,NULL,NULL,NULL
2,1,1,110_1,NULL,NULL,NULL,NULL,NULL
2,1,1,111_1,NULL,NULL,NULL,NULL,NULL
2,1,1,125_2,NULL,NULL,NULL,NULL,NULL
2,1,1,124_1,NULL,NULL,NULL,NULL,NULL
2,1,1,124_2,NULL,NULL,NULL,NULL,NULL
2,1,1,112_2,NULL,NULL,NULL,NULL,NULL
2,1,1,113_2,NULL,NULL,NULL,NULL,NULL
2,1,1,112_1,NULL,NULL,NULL,NULL,NULL
2,1,1,131_2,NULL,NULL,NULL,NULL,NULL
2,1,1,125_1,NULL,NULL,NULL,NULL,NULL
2,1,1,132_2,NULL,NULL,NULL,NULL,NULL
2,1,1,131_1,NULL,NULL,NULL,NULL,NULL
2,1,1,114_2,NULL,NULL,NULL,NULL,NULL
2,1,1,114_1,NULL,NULL,NULL,NULL,NULL
2,1,1,134_2,NULL,NULL,NULL,NULL,NULL
2,1,1,134_1,NULL,NULL,NULL,NULL,NULL
2,1,1,133_1,NULL,NULL,NULL,NULL,NULL
2,1,1,133_2,NULL,NULL,NULL,NULL,NULL
2,1,1,135_2,NULL,NULL,NULL,NULL,NULL
2,1,1,135_1,NULL,NULL,NULL,NULL,NULL
2,1,1,129_2,NULL,NULL,NULL,NULL,NULL
2,1,1,130_2,NULL,NULL,NULL,NULL,NULL
2,1,1,127_2,NULL,NULL,NULL,NULL,NULL
2,1,1,126_2,NULL,NULL,NULL,NULL,NULL
2,1,1,129_1,NULL,NULL,NULL,NULL,NULL
2,1,1,128_2,NULL,NULL,NULL,NULL,NULL
2,1,1,128_1,NULL,NULL,NULL,NULL,NULL
2,1,1,123_2,NULL,NULL,NULL,NULL,NULL
2,1,1,121_2,NULL,NULL,NULL,NULL,NULL
2,1,1,122_2,NULL,NULL,NULL,NULL,NULL
2,1,1,120_2,NULL,NULL,NULL,NULL,NULL
2,1,1,141_2,NULL,NULL,NULL,NULL,NULL
2,1,1,118_2,NULL,NULL,NULL,NULL,NULL
2,1,1,117_2,NULL,NULL,NULL,NULL,NULL
2,1,1,116_2,NULL,NULL,NULL,NULL,NULL
2,1,1,140_1,NULL,NULL,NULL,NULL,NULL
2,1,1,140_2,NULL,NULL,NULL,NULL,NULL
2,1,1,136_1,NULL,NULL,NULL,NULL,NULL
2,1,1,136_2,NULL,NULL,NULL,NULL,NULL
2,1,1,137_2,NULL,NULL,NULL,NULL,NULL
2,1,1,119_2,NULL,NULL,NULL,NULL,NULL
2,1,1,109_1,NULL,NULL,NULL,NULL,NULL
1,3,3,101_2,NULL,NULL,NULL,NULL,NULL
1,3,3,102_2,NULL,NULL,NULL,NULL,NULL
1,3,3,102_1,NULL,NULL,NULL,NULL,NULL
1,3,3,101_1,NULL,NULL,NULL,NULL,NULL
1,3,3,116_2,NULL,NULL,NULL,NULL,NULL
1,3,3,103_1,NULL,NULL,NULL,NULL,NULL
1,3,3,103_2,NULL,NULL,NULL,NULL,NULL
1,3,3,116_1,NULL,NULL,NULL,NULL,NULL
1,3,3,104_2,NULL,NULL,NULL,NULL,NULL
1,3,3,113_1,NULL,NULL,NULL,NULL,NULL
1,3,3,104_1,NULL,NULL,NULL,NULL,NULL
1,3,3,113_2,NULL,NULL,NULL,NULL,NULL
1,3,3,112_2,NULL,NULL,NULL,NULL,NULL
1,3,3,106_2,NULL,NULL,NULL,NULL,NULL
1,3,3,107_2,NULL,NULL,NULL,NULL,NULL
1,3,3,108_2,NULL,NULL,NULL,NULL,NULL
1,3,3,105_2,NULL,NULL,NULL,NULL,NULL
2,0,0,214_2,NULL,NULL,NULL,NULL,NULL
2,0,0,215_2,NULL,NULL,NULL,NULL,NULL
2,0,0,201_2,NULL,NULL,NULL,NULL,NULL
2,0,0,214_1,NULL,NULL,NULL,NULL,NULL
2,0,0,204_2,NULL,NULL,NULL,NULL,NULL
2,0,0,201_1,NULL,NULL,NULL,NULL,NULL
2,0,0,202_2,NULL,NULL,NULL,NULL,NULL
2,0,0,203_2,NULL,NULL,NULL,NULL,NULL
2,0,0,211_2,NULL,NULL,NULL,NULL,NULL
2,0,0,206_2,NULL,NULL,NULL,NULL,NULL
2,0,0,205_1,NULL,NULL,NULL,NULL,NULL
2,0,0,205_2,NULL,NULL,NULL,NULL,NULL
2,0,0,207_1,NULL,NULL,NULL,NULL,NULL
2,0,0,208_2,NULL,NULL,NULL,NULL,NULL
2,0,0,209_2,NULL,NULL,NULL,NULL,NULL
2,0,0,207_2,NULL,NULL,NULL,NULL,NULL
2,0,0,120_2,NULL,NULL,NULL,NULL,NULL
2,0,0,119_2,NULL,NULL,NULL,NULL,NULL
2,0,0,125_2,NULL,NULL,NULL,NULL,NULL
2,0,0,117_2,NULL,NULL,NULL,NULL,NULL
2,0,0,118_2,NULL,NULL,NULL,NULL,NULL
2,0,0,122_1,NULL,NULL,NULL,NULL,NULL
2,0,0,104_2,NULL,NULL,NULL,NULL,NULL
2,0,0,121_2,NULL,NULL,NULL,NULL,NULL
2,0,0,122_2,NULL,NULL,NULL,NULL,NULL
2,0,0,101_2,NULL,NULL,NULL,NULL,NULL
2,0,0,104_1,NULL,NULL,NULL,NULL,NULL
2,0,0,103_2,NULL,NULL,NULL,NULL,NULL
1,2,2,209_2,NULL,NULL,NULL,NULL,NULL
1,2,2,210_2,NULL,NULL,NULL,NULL,NULL
1,2,2,208_2,NULL,NULL,NULL,NULL,NULL
1,2,2,211_2,NULL,NULL,NULL,NULL,NULL
1,2,2,212_2,NULL,NULL,NULL,NULL,NULL
1,2,2,212_1,NULL,NULL,NULL,NULL,NULL
1,2,2,206_2,NULL,NULL,NULL,NULL,NULL
1,2,2,207_2,NULL,NULL,NULL,NULL,NULL
1,2,2,206_1,NULL,NULL,NULL,NULL,NULL
1,2,2,201_2,NULL,NULL,NULL,NULL,NULL
1,2,2,202_1,NULL,NULL,NULL,NULL,NULL
1,2,2,202_2,NULL,NULL,NULL,NULL,NULL
1,2,2,201_1,NULL,NULL,NULL,NULL,NULL
1,2,2,204_1,NULL,NULL,NULL,NULL,NULL
1,2,2,204_2,NULL,NULL,NULL,NULL,NULL
1,2,2,203_2,NULL,NULL,NULL,NULL,NULL
1,2,2,203_1,NULL,NULL,NULL,NULL,NULL
1,3,3,217_2,NULL,NULL,NULL,NULL,NULL
1,3,3,203_2,NULL,NULL,NULL,NULL,NULL
1,3,3,216_2,NULL,NULL,NULL,NULL,NULL
1,2,2,205_2,NULL,NULL,NULL,NULL,NULL
1,3,3,202_2,NULL,NULL,NULL,NULL,NULL
1,3,3,201_2,NULL,NULL,NULL,NULL,NULL
1,3,3,204_2,NULL,NULL,NULL,NULL,NULL
2,0,0,108_2,NULL,NULL,NULL,NULL,NULL
2,0,0,106_2,NULL,NULL,NULL,NULL,NULL
2,0,0,124_2,NULL,NULL,NULL,NULL,NULL
2,0,0,111_2,NULL,NULL,NULL,NULL,NULL
2,0,0,110_2,NULL,NULL,NULL,NULL,NULL
2,0,0,140_2,NULL,NULL,NULL,NULL,NULL
2,0,0,126_2,NULL,NULL,NULL,NULL,NULL
2,0,0,127_2,NULL,NULL,NULL,NULL,NULL
2,0,0,128_2,NULL,NULL,NULL,NULL,NULL
2,0,0,130_2,NULL,NULL,NULL,NULL,NULL
2,0,0,124_1,NULL,NULL,NULL,NULL,NULL
2,0,0,129_2,NULL,NULL,NULL,NULL,NULL
2,0,0,139_2,NULL,NULL,NULL,NULL,NULL
1,3,3,202_1,NULL,NULL,NULL,NULL,NULL
1,3,3,206_2,NULL,NULL,NULL,NULL,NULL
1,3,3,214_2,NULL,NULL,NULL,NULL,NULL
2,0,0,112_2,NULL,NULL,NULL,NULL,NULL
1,3,3,205_2,NULL,NULL,NULL,NULL,NULL
2,0,0,113_2,NULL,NULL,NULL,NULL,NULL
2,0,0,112_1,NULL,NULL,NULL,NULL,NULL
2,0,0,133_1,NULL,NULL,NULL,NULL,NULL
2,0,0,133_2,NULL,NULL,NULL,NULL,NULL
2,0,0,134_2,NULL,NULL,NULL,NULL,NULL
2,0,0,136_2,NULL,NULL,NULL,NULL,NULL
2,0,0,134_1,NULL,NULL,NULL,NULL,NULL
2,0,0,137_2,NULL,NULL,NULL,NULL,NULL
2,0,0,135_2,NULL,NULL,NULL,NULL,NULL
2,0,0,138_2,NULL,NULL,NULL,NULL,NULL
2,0,0,138_1,NULL,NULL,NULL,NULL,NULL
2,0,0,132_2,NULL,NULL,NULL,NULL,NULL
2,0,0,139_1,NULL,NULL,NULL,NULL,NULL
2,0,0,130_1,NULL,NULL,NULL,NULL,NULL
2,0,0,132_1,NULL,NULL,NULL,NULL,NULL
2,0,0,129_1,NULL,NULL,NULL,NULL,NULL
2,0,0,140_1,NULL,NULL,NULL,NULL,NULL
2,0,0,126_1,NULL,NULL,NULL,NULL,NULL
2,0,0,127_1,NULL,NULL,NULL,NULL,NULL
2,0,0,107_1,NULL,NULL,NULL,NULL,NULL
